signal_id,mean_ip,std_ip,kurt_ip,skew_ip,mean_dm,std_dm,kurt_dm,skew_dm,log_mean_dm,slog_skew_dm,kurt_ip_dm_diff,skew_ip_dm_diff,label
4425,135.75,44.23269436,-0.018804944,0.22744643,2.418896321,13.72499651,9.436217698,123.4650664,1.2293177858335225,4.824025085367038,-9.455022642,-123.23761997,0
1,102.5078125,58.88243001,0.465318154,-0.515087909,1.677257525,14.86014572,10.57648674,127.3935796,0.9847929590148524,4.855100386890399,-10.111168586,-127.908667509,0
16392,119.9609375,45.86961861,0.20456085,0.681754157,0.97909699,11.2401751,14.55743694,258.9899708,0.6826406750203059,5.560643056425384,-14.35287609,-258.308216643,0
13969,145.3203125,55.87163491,-0.428448508,-0.641908987,59.23494983,35.48562971,-0.649044273,0.796461876,4.098252745814012,0.585819106082694,0.220595765,-1.4383708629999998,0
14271,109.9609375,33.65017699,0.627901605,2.555754984,2.298494983,15.74218597,9.056483048,97.63831841,1.1934662986852405,4.591459810961383,-8.428581443,-95.082563426,0
12466,117.609375,44.74393017,0.060455944,0.159091157,3.102842809,21.18204954,8.57774107,80.72721694,1.4116801014904738,4.403387079070125,-8.517285126,-80.568125783,0
13703,123.203125,46.94450836,0.312844495,0.336318861,1.640468227,14.61345309,11.03607602,140.8901354,0.970956260144149,4.9550530637791095,-10.723231525,-140.553816539,0
4427,74.8359375,35.76175011,0.771500784,3.606187294,6.798494983,32.81116078,5.327198521,28.8302143,2.053930764180691,3.395521782543762,-4.555697737,-25.224027006,0
12763,48.3671875,30.0577234,4.500912427,27.91794242,69.83862876,74.18078711,0.740556013,-0.606040114,4.260404455866755,-0.47377159279669506,3.7603564140000003,28.523982533999998,1
8175,103.4921875,45.93660647,0.088488831,0.048365099,3.404682274,22.91313635,7.456085946,59.02149914,1.4826681282964063,4.0947028170411786,-7.367597115,-58.973134041,0
5094,136.4296875,49.55216374,-0.180418392,0.370337573,9.066053512,37.28474207,4.2700135,17.70044065,2.309168724453688,2.9285470877540334,-4.450431892,-17.330103077,0
427,102.3203125,45.57410408,0.321909203,0.379147593,4.402173913,22.54014543,6.377098143,47.25639647,1.6868014490395402,3.8765283883248833,-6.055188940000001,-46.877248877,0
3407,110.640625,40.66243167,0.463422706,1.44097936,1.211538462,12.67873819,13.02104081,198.087177,0.7936884099905184,5.293742804174373,-12.557618104000001,-196.64619764,0
7533,108.2109375,43.03553262,0.225013568,0.254552824,1.693143813,15.94279027,11.45209443,148.8394939,0.9907092149286628,5.009564680527353,-11.227080862000001,-148.584941076,0
14892,112.4375,45.76685994,0.247305013,0.291441883,1.997491639,18.94819977,10.14788812,106.6652786,1.097775818591205,4.679027142211379,-9.900583107,-106.37383671699999,0
2349,51.765625,28.01157249,4.106637024,25.2795918,25.71153846,60.54615891,2.420031117,4.672226562,3.285095624115321,1.7355817323672085,1.6866059070000001,20.607365238,1
12756,117.0390625,55.88330508,0.231177229,-0.601623716,11.3361204,38.73713919,3.601975513,12.54074607,2.5125315768252254,2.6057033671477985,-3.370798284,-13.142369786000001,0
6090,120.265625,51.03682561,0.150724608,-0.351976822,1.336956522,13.3637434,13.4926617,210.954634,0.8488494511902503,5.356372261206727,-13.341937091999998,-211.306610822,0
11060,60.9765625,37.65415499,2.348117762,8.89422219,6.367056856,32.82643958,5.393685545,28.80654646,1.99701828533073,3.394728049251042,-3.045567783,-19.91232427,1
12685,133.7265625,47.42983549,-0.305418476,0.270692187,2.725752508,15.21446589,9.00246826,109.1351285,1.315268846999595,4.701708052785338,-9.307886736,-108.864436313,0
554,124.421875,55.32766168,0.021536997,-0.469194807,2.005852843,14.90709689,9.897932299,117.1177467,1.1005613357079915,4.7716819803307455,-9.876395302,-117.58694150699999,0
14273,119.9609375,42.03372945,0.130255692,0.636325117,2.059364548,13.5090947,10.29728368,140.0238015,1.118207230346837,4.948928681096753,-10.167027988,-139.38747638299998,0
9679,120.09375,47.10102797,0.139785725,-0.083436963,0.574414716,8.687455738,23.80134612,646.0114,0.4538835943250141,6.472363914129291,-23.661560395000002,-646.094836963,0
6268,123.1484375,54.47707228,-0.049188427,-0.455425795,2.930602007,19.85712428,8.24055602,75.00971798,1.3687925965926855,4.33086120026979,-8.289744447,-75.465143775,0
2335,90.375,50.95724311,0.788316579,0.775012947,1.694816054,14.74390095,10.65191874,131.736375,0.9913299474860584,4.8883650183197185,-9.863602161,-130.96136205300002,0
4169,123.9453125,56.06027847,0.256052282,-0.580435714,1.456521739,15.09824956,12.94694229,188.5520769,0.8987464221701482,5.244663798905745,-12.690890008,-189.132512614,0
7874,143.9375,49.6660331,-0.074703612,-0.386771608,1.827759197,15.19132493,9.725859584,109.5425107,1.0394845948332234,4.705400159192231,-9.800563196,-109.929282308,0
8228,135.46875,55.50463628,-0.059324914,-0.71690331,4.178929766,27.7369649,7.155479063,51.72882229,1.6445984260445279,3.9651622185688886,-7.214803977,-52.445725599999996,0
3508,42.5546875,31.18037459,4.417519042,25.65261075,17.7173913,48.29203662,3.136579598,9.663884391,2.929453107706348,2.3668627417636294,1.2809394440000004,15.988726359000001,1
5910,106.234375,47.10236266,0.506885872,0.48648332,2.569397993,14.98737596,9.119412833,106.809231,1.2723969521602452,4.680363285606563,-8.612526961,-106.32274767999999,0
11800,113.15625,39.63316901,0.319399994,1.663129775,5.757525084,31.24273404,5.682964701,32.22468042,1.9106567111852535,3.5032929858924025,-5.363564707,-30.561550644999997,0
10628,108.8671875,44.45492294,0.466985103,0.608035732,3.142976589,21.45568956,8.189735101,72.59011341,1.4214145123431177,4.298510688043448,-7.722749998,-71.982077678,0
17224,128.875,50.77416297,-0.193987883,0.122065657,2.664715719,16.26789087,8.7780029,97.0022662,1.2987507658908926,4.584990602893001,-8.971990783,-96.880200543,0
12008,103.1640625,53.73906536,0.45984332,-0.45201668,2.064381271,14.06786117,10.48621047,141.6995848,1.1198456798418255,4.960741614877997,-10.02636715,-142.15160148,0
9150,140.9765625,47.45696485,-0.067510016,0.029037865,3.510869565,23.9983775,7.594922641,60.38935048,1.5064899431334653,4.117236375158642,-7.662432657,-60.360312615,0
6908,173.8984375,56.78713541,-1.472028412,1.316127659,55.40301003,83.28198738,1.082340542,-0.458685251,4.032522526406162,-0.3775355170011222,-2.554368954,1.77481291,0
4328,96.5,43.03486958,0.404748278,0.810823659,3.446488294,25.13551192,7.435120863,55.26108066,1.4921146372216847,4.030003011195754,-7.030372585,-54.450257001,0
5204,107.8125,47.17781358,0.392349223,0.282197253,1.195652174,14.63011673,13.39396935,190.7884995,0.7864791203917684,5.256393199754844,-13.001620127,-190.506302247,0
3861,114.1328125,42.83331995,0.159413457,-0.065702437,2.883779264,16.13884275,7.934753699,79.98692162,1.356808716682249,4.394287680154649,-7.7753402419999995,-80.052624057,0
5179,113.7265625,40.78578085,0.367794527,0.730595252,1.998327759,13.13615338,10.33573709,145.3354232,1.0980547195886896,4.985901405854056,-9.967942563000001,-144.604827948,0
